Hole_ID,Mo,Nb,Zr,Sr,Rb,Th,Pb,Ars,Ta,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Sc,Ca,K,S,Ba,Cs,Ag,Nb_Zr,V_Zr,Ti_Zr,Sc_Zr,Sr_Zr,Ta_Zr,Ca_Zr,K_Zr,Rb_Zr,Mn_Zr,Cs_Zr,Zn_Zr,Fe_Zr,Ni_Zr,Co_Zr,Cu_Zr,L1_Niton,L2_Niton,Ox_Niton,Au_Total,MagSus,Au,Au_Tails,Solid_L1,Recovery
1151678,2,0,251,1026,92,4,14,5165,0,102,16,152,163,41170,851,184,696,3215,262,16770,19906,11579,833,18,5,0,2.77,13,1.04,4.09,0,66.8,79,0.37,3.39,0,0.41,164,0.61,0.65,0.06,S4,fr,Fr,0.432,0.63,0.288,0.144,S4,0.5
1151679,2,0,175,986,86,4,16,13723,0,104,16,152,163,45329,824,203,792,2887,402,15307,16458,15774,734,18,5,0,4.53,17,2.3,5.63,0,87.5,94,0.49,4.71,0,0.59,259,0.87,0.93,0.09,S4,fr,Fr,1.611,0.12,1.232,0.379,S4,0.69237013
1151680,2,0,226,811,95,9,15,11497,0,96,16,157,163,48562,895,207,908,3252,285,17748,18198,20048,699,18,5,0,4.02,14,1.26,3.59,0,78.5,81,0.42,3.96,0,0.42,215,0.69,0.72,0.07,S4,fr,Fr,1.164,0.1,0.861,0.303,S4,0.648083624
1151681,2,0,268,660,110,10,7,2011,0,106,16,207,163,44897,1031,248,982,3595,465,21952,20513,9011,793,37,5,0,3.66,13,1.74,2.46,0,81.9,77,0.41,3.85,0,0.4,168,0.77,0.61,0.06,S4,fr,Fr,2.133,0.24,2.041,0.092,S4,0.954924057
1151682,2,0,152,1100,57,4,7,4336,0,58,16,145,163,28436,861,122,629,2350,414,23657,12493,11373,559,18,5,0,4.14,15,2.72,7.24,0,155.6,82,0.38,5.66,0,0.38,187,0.95,1.07,0.11,S4,fr,Fr,1.583,0.43,1.416,0.167,S4,0.882062147
1151683,2,0,177,918,75,4,7,1345,0,66,16,181,163,32754,798,169,680,3053,493,22674,15981,11811,601,38,5,0,3.84,17,2.79,5.19,0,128.1,90,0.42,4.51,0,0.37,185,1.02,0.92,0.09,S4,fr,Fr,0.179,0.12,0.124,0.055,S4,0.556451613
1151686,2,0,149,607,87,4,7,9584,0,105,16,135,163,47265,822,195,776,3357,245,11673,17469,17760,565,18,5,0,5.21,23,1.64,4.07,0,78.3,117,0.58,5.52,0,0.7,317,0.91,1.09,0.11,S4,fr,Fr,0.75,0.08,0.511,0.239,S4,0.532289628
1151687,2,0,228,507,76,4,7,1078,0,73,43,141,163,36878,707,189,805,3362,45,13155,17237,18804,594,37,5,0,3.53,15,0.2,2.22,0,57.7,76,0.33,3.1,0,0.32,162,0.62,0.71,0.19,S4,fr,Fr,0.471,0.9,0.415,0.056,S4,0.865060241
1151688,2,0,263,590,77,4,15,1444,0,77,35,121,163,33527,605,134,721,3754,283,14015,19022,17948,717,47,5,0,2.74,14,1.08,2.24,0,53.3,72,0.29,2.3,0,0.29,127,0.46,0.62,0.13,S4,fr,Fr,1.135,0.2,0.925,0.21,S4,0.772972973
1151689,2,0,163,496,58,4,17,7839,0,92,36,130,163,42144,653,151,879,3162,45,10475,14628,23882,648,18,5,0,5.39,19,0.28,3.04,0,64.3,90,0.36,4.01,0,0.56,259,0.8,1,0.22,S4,fr,Fr,25.867,0.82,24.846,1.021,S4,0.958906866
