Hole_ID,Fe_Zr,Ni_Zr,Co_Zr,Cu_Zr,L1_Niton,L2_Niton,Ox_Niton,Au_Total,MagSus,Au,Au_Tails,Solid_L1,Recovery
836485,240,0.31,0.87,0.09,S4,sp,Ox,3.49,0.3,3.304,0.186,S4,0.9437046
836486,241,0.4,0.83,0.08,S4,sp,Ox,0.33,0.25,0.305,0.025,S4,0.918032787
836487,189,0.28,0.68,0.07,S4,sp,Ox,0.245,0.16,0.224,0.021,S4,0.90625
836488,263,0.36,0.74,0.07,S4,sp,Ox,1.161,0.11,1.077,0.084,S4,0.922005571
836489,248,0.3,0.9,0.09,S4,sp,Ox,0.272,0.39,0.241,0.031,S4,0.871369295
836490,264,0.46,0.91,0.09,S4,sp,Ox,0.456,0.36,0.42,0.036,S4,0.914285714
836491,159,0.39,0.61,0.06,S4,sp,Ox,0.515,0.3,0.454,0.061,S4,0.865638767
836492,87,0.09,0.59,0.06,S4,sp,Ox,0.13,0.18,0.108,0.022,S4,0.796296296
836501,115,0.38,0.61,0.06,S4,sp,Ox,0.188,0.5,0.153,0.035,S4,0.77124183
836504,235,0.45,0.93,0.09,S4,sp,Ox,0.154,0.41,0.131,0.023,S4,0.824427481
836543,203,0.31,0.7,0.07,S3,sp,Ox,0.743,0.22,0.694,0.049,S4,0.929394813
836544,113,0.11,0.7,0.07,S3,sp,Ox,0.53,0.19,0.485,0.045,S4,0.907216495
836546,138,0.1,0.61,0.06,S3,sp,Ox,0.228,0.15,0.19,0.038,S4,0.8
836547,187,0.17,1.08,0.11,S3,sp,Ox,0.222,0.35,0.205,0.017,S4,0.917073171
836548,135,0.26,0.6,0.06,S3,sp,Ox,0.249,0.09,0.218,0.031,S4,0.857798165
836549,207,0.27,0.77,0.18,S4,sp,Ox,0.242,0.19,0.21,0.032,S4,0.847619048
836550,145,0.1,0.62,0.06,S3,sp,Ox,0.41,0.15,0.375,0.035,S4,0.906666667
836551,102,0.09,0.57,0.06,S4,sp,Ox,0.264,0.05,0.231,0.033,S4,0.857142857
836553,220,0.43,0.75,0.07,S4,sp,Ox,1.998,0.19,1.899,0.099,S4,0.947867299
836554,168,0.26,0.59,0.15,S4,sp,Ox,0.208,0.09,0.181,0.027,S4,0.850828729
836555,188,0.37,0.65,0.15,S4,sp,Ox,0.435,0.2,0.395,0.04,S4,0.898734177
